Archi,Act,Size,Loss,Epoch
ResNet,SiLU,128,0.08072922378778458,2270
MLP,GELU,64,0.08499690890312195,3500
OriginalMLP,GELU,128,0.08583011478185654,2960
OriginalMLP,SiLU,64,0.08615024387836456,3490
DeepMLP,ELU,64,0.08663783967494965,2830
ResNet,ELU,128,0.08903811872005463,1780
OriginalMLP,GELU,64,0.08949506282806396,2570
OriginalMLP,Mish,128,0.08984412997961044,2130
ResNet,GELU,32,0.08992782980203629,3390
DeepMLP,ELU,128,0.08995633572340012,1220
DeepResNet,ELU,64,0.09026207774877548,1730
MLP,ELU,64,0.09149402379989624,2820
MLP,GELU,32,0.09149961918592453,2180
ResNet,ELU,64,0.0922389030456543,1890
MLP,SiLU,64,0.09233459085226059,1490
MLP,SiLU,32,0.09237565845251083,2860
DeepResNet,Mish,64,0.09241799265146255,970
OriginalMLP,ELU,64,0.0924256294965744,1270
DeepResNet,SiLU,32,0.09242967516183853,1090
DeepResNet,ELU,128,0.09243566542863846,720
ResNet,Mish,32,0.09244692325592041,1990
DeepResNet,SiLU,64,0.09247120469808578,1020
DeepResNet,Mish,32,0.09247665852308273,1310
MLP,Mish,64,0.09248413145542145,1440
DeepResNet,GELU,32,0.09249725192785263,850
ResNet,SiLU,32,0.0925225242972374,1970
DeepResNet,ELU,32,0.0925436019897461,1540
DeepMLP,SiLU,64,0.0925741195678711,1610
OriginalMLP,ELU,128,0.09259820729494095,1180
ResNet,Mish,64,0.09263467788696289,1280
ResNet,SiLU,64,0.09266578406095505,1300
OriginalMLP,SiLU,128,0.0926913321018219,1010
DeepResNet,GELU,64,0.09273549914360046,720
OriginalMLP,SiLU,32,0.09274483472108841,2010
DeepMLP,Mish,64,0.09274537861347198,1160
DeepMLP,ELU,32,0.09275554120540619,2060
MLP,Mish,32,0.09276540577411652,2240
DeepMLP,Mish,128,0.09276990592479706,860
DeepResNet,Mish,128,0.09282970428466797,610
DeepResNet,GELU,16,0.09285689890384674,2970
OriginalMLP,ELU,16,0.09286792576313019,3500
ResNet,GELU,128,0.09294991940259933,800
ResNet,Mish,128,0.09296439588069916,600
DeepMLP,SiLU,128,0.09296786785125732,1060
DeepMLP,SiLU,16,0.0929819643497467,2670
DeepResNet,SiLU,16,0.09302137047052383,3040
DeepMLP,GELU,64,0.09303256124258041,1120
DeepResNet,ELU,16,0.09304054826498032,3500
OriginalMLP,Mish,64,0.09306159615516663,1130
DeepResNet,Mish,16,0.09306523948907852,2770
MLP,SiLU,128,0.09307398647069931,1090
MLP,GELU,16,0.09309623390436172,3500
DeepMLP,Mish,32,0.09310987591743469,1960
DeepResNet,SiLU,128,0.09313641488552094,730
MLP,ELU,128,0.09314443171024323,1100
OriginalMLP,Mish,32,0.09315164387226105,2460
MLP,Mish,128,0.09316067397594452,1010
ResNet,SiLU,16,0.09334743022918701,3440
ResNet,GELU,64,0.09343692660331726,810
ResNet,ELU,32,0.09345316886901855,2410
DeepMLP,GELU,16,0.09345485270023346,2250
ResNet,ELU,16,0.09348314255475998,3410
