ResNet (SiLU/128) | L:0.2 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35276 (Epoch 830)
ResNet (SiLU/128) | L:0.2 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.35593 (Epoch 870)
ResNet (SiLU/128) | L:0.5 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.35635 (Epoch 820)
ResNet (SiLU/128) | L:2.0 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.35669 (Epoch 860)
ResNet (SiLU/128) | L:2.0 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.35705 (Epoch 830)
ResNet (SiLU/128) | L:2.0 W:150 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.35722 (Epoch 820)
ResNet (SiLU/128) | L:2.0 W:100 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35743 (Epoch 860)
ResNet (SiLU/128) | L:0.2 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35767 (Epoch 770)
ResNet (SiLU/128) | L:0.2 W:100 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35791 (Epoch 840)
ResNet (SiLU/128) | L:2.0 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.35796 (Epoch 800)
ResNet (SiLU/128) | L:2.0 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.35839 (Epoch 860)
ResNet (SiLU/128) | L:0.5 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35881 (Epoch 890)
ResNet (SiLU/128) | L:0.5 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35896 (Epoch 750)
ResNet (SiLU/128) | L:2.0 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35911 (Epoch 790)
ResNet (SiLU/128) | L:0.2 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.35932 (Epoch 870)
ResNet (SiLU/128) | L:0.5 W:100 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35943 (Epoch 860)
ResNet (SiLU/128) | L:0.5 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.35945 (Epoch 800)
ResNet (SiLU/32) | L:2.0 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.35971 (Epoch 1290)
ResNet (SiLU/128) | L:0.2 W:150 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.35972 (Epoch 850)
ResNet (SiLU/128) | L:2.0 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.35975 (Epoch 870)
ResNet (SiLU/32) | L:0.2 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.35985 (Epoch 1290)
ResNet (SiLU/32) | L:0.5 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.35996 (Epoch 1300)
ResNet (SiLU/128) | L:0.5 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.36017 (Epoch 840)
ResNet (SiLU/128) | L:0 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.36021 (Epoch 860)
