Lch,Wch,Tox1,Tox2
43.29,28.33,1.28,1.28
23.79,21.9,1.05,2.87
11.6,52.39,0.93,1.52
42.14,71.53,1.37,1.65
9.57,34.1,1.03,2.67
38.94,12.14,1.24,1.81
7.83,29.49,0.48,1.2
30.31,30.01,1.4,1.79
16.64,94.35,0.29,1.7
21.36,62.0,1.33,1.78
18.62,38.86,1.48,2.99
39.21,65.25,1.38,1.96
34.05,77.91,0.24,2.27
35.17,78.97,0.5,1.27
42.67,62.54,1.37,2.95
38.81,84.0,0.91,1.61
11.18,92.0,0.66,1.29
9.78,73.41,0.24,2.51
23.93,89.88,0.39,2.43
40.71,48.49,1.05,2.29
32.42,78.56,0.92,2.05
12.87,71.66,0.9,2.33
33.3,92.65,1.3,1.47
21.53,84.48,1.4,1.81
11.65,27.2,0.74,1.25
17.67,48.76,0.64,1.5
33.07,36.37,0.33,2.06
7.29,31.79,0.87,2.63
38.68,39.56,0.73,1.5
27.39,26.97,1.28,2.71
38.53,83.62,1.01,1.87
17.75,92.72,0.33,2.71
13.63,59.82,1.12,2.92
37.93,95.99,1.31,2.92
9.74,94.97,0.33,2.28
30.72,86.21,0.8,2.7
22.99,55.34,1.41,1.43
19.87,37.43,1.46,1.38
26.65,44.23,0.7,1.31
8.48,25.43,0.75,2.6
16.3,81.67,0.45,2.03
30.29,69.12,0.73,1.43
34.42,63.99,0.96,1.99
34.91,70.72,1.3,1.8
38.34,63.16,0.46,2.35
21.6,98.18,0.38,1.7
15.97,60.78,1.29,2.22
21.83,91.55,1.29,2.25
44.84,36.66,1.02,2.96
12.43,69.56,0.92,1.62
28.69,63.71,1.23,2.4
39.19,21.03,0.89,2.87
11.38,43.07,1.46,2.64
17.99,78.93,0.27,1.73
8.4,33.85,0.45,2.99
35.39,78.2,0.83,1.62
38.71,61.2,0.29,2.43
28.2,55.71,0.43,2.52
29.26,25.63,1.49,2.35
39.86,16.17,1.36,1.64
44.66,15.07,0.8,1.81
24.25,76.75,0.8,1.33
8.33,99.06,1.07,1.58
41.08,73.1,0.3,2.95
18.56,82.29,0.81,2.44
37.3,58.28,0.89,2.86
33.78,10.11,1.21,1.48
32.46,73.76,0.2,2.7
36.85,48.02,0.56,2.12
37.42,74.21,0.93,2.11
19.78,78.45,0.82,1.85
21.75,39.21,1.45,1.98
29.65,70.23,1.26,2.79
31.59,89.62,1.14,2.31
7.15,69.64,0.62,1.77
42.51,57.93,1.47,2.2
20.14,57.63,0.38,2.17
18.08,24.4,1.07,1.88
36.08,60.91,0.87,2.97
24.36,17.8,1.36,2.24
11.52,15.88,0.84,1.92
40.82,15.43,1.28,1.49
16.2,34.98,0.35,2.47
11.8,54.54,1.08,1.59
44.45,69.99,0.97,1.82
38.77,50.25,0.56,2.61
31.16,54.18,0.49,2.88
39.71,14.58,0.3,1.58
43.59,93.93,1.27,2.0
35.74,45.1,0.62,2.19
27.97,42.48,0.33,2.73
19.61,11.53,0.62,1.78
14.96,64.79,0.21,1.93
41.61,39.31,1.42,2.76
23.72,80.37,1.1,2.76
12.3,42.75,1.06,2.9
17.02,32.61,1.32,1.58
37.71,39.39,0.24,2.08
22.75,13.62,0.9,2.06
14.42,51.0,1.49,2.31
43.69,97.89,1.05,1.41
41.03,73.84,1.24,2.28
11.87,57.04,0.39,2.18
24.83,46.88,0.27,2.58
20.59,40.54,1.31,2.83
22.79,84.11,0.42,2.31
31.78,20.71,0.64,2.93
30.62,85.44,0.97,1.54
18.34,72.49,1.38,1.31
7.0,61.06,1.2,1.38
14.77,14.84,1.42,2.48
33.62,39.62,0.51,1.43
27.76,97.2,0.88,1.94
25.08,74.84,1.18,1.4
25.84,11.32,1.46,1.67
18.46,56.72,0.77,2.77
44.04,81.98,1.41,2.6
10.26,53.59,1.1,2.38
27.11,76.13,0.42,2.67
34.77,31.07,0.26,2.24
41.68,56.58,0.39,2.69
17.32,13.99,0.32,2.18
39.81,69.73,1.07,1.34
14.53,76.36,1.43,2.81
10.93,30.14,1.25,2.8
41.51,30.21,0.96,2.45
8.06,63.6,1.18,1.51
34.07,49.72,0.94,1.4
28.57,48.97,0.37,1.81
40.05,28.46,1.03,2.49
7.08,43.81,0.36,1.64
40.39,15.79,0.85,1.35
16.74,17.91,1.17,1.45
43.55,57.97,1.15,2.49
8.74,80.18,1.19,2.2
38.06,82.41,0.42,2.96
42.39,87.99,1.31,2.8
19.94,22.67,0.27,2.07
20.9,82.12,0.72,2.33
12.66,18.38,0.52,2.27
19.05,21.14,0.76,2.31
7.35,10.95,0.45,2.71
40.29,82.77,0.22,2.24
28.22,90.96,0.82,1.76
32.1,18.66,1.14,2.4
27.87,61.83,0.74,1.66
41.96,72.34,0.26,2.19
24.77,31.16,1.19,1.82
40.91,42.86,0.58,3.0
19.18,97.59,1.08,1.36
34.46,96.67,1.18,2.54
19.73,80.53,1.32,1.42
41.76,94.02,1.0,2.3
44.66,24.24,1.03,2.32
37.28,14.1,0.95,1.82
11.57,26.76,0.54,2.37
42.81,46.76,1.17,2.39
40.06,31.01,0.48,2.6
10.15,51.16,1.24,1.51
20.24,96.37,0.95,1.28
40.5,12.34,0.25,1.41
9.71,24.53,1.41,1.86
29.05,61.59,1.35,2.34
30.11,57.42,0.78,1.68
31.21,74.03,0.69,1.36
37.11,38.4,0.27,2.22
20.03,76.94,0.91,2.88
13.14,93.83,0.98,1.59
38.39,56.39,1.09,2.81
25.11,33.51,0.4,2.15
42.92,95.26,1.24,2.81
8.71,27.02,0.87,1.34
36.82,56.8,0.56,2.33
10.18,22.79,0.76,2.16
37.02,46.0,1.42,2.33
8.43,80.65,1.46,2.19
7.24,92.85,0.62,2.15
17.92,69.19,1.19,1.92
22.69,79.19,1.35,2.67
10.09,86.38,0.56,2.17
21.3,94.43,1.32,1.61
28.36,41.05,1.23,2.9
20.19,61.56,1.43,1.25
23.45,42.17,1.05,1.6
9.84,10.24,0.96,1.29
10.36,62.1,0.27,2.69
19.21,29.39,0.82,2.11
22.72,63.9,1.11,2.3
26.64,39.91,0.92,2.82
31.26,84.28,1.31,2.61
15.51,65.15,1.49,1.95
14.99,63.75,1.11,1.57
33.46,97.75,0.45,1.78
20.06,98.91,0.45,1.54
18.39,42.77,0.63,2.78
12.77,89.7,0.57,1.73
27.08,54.31,0.52,1.8
28.07,75.67,0.88,2.2
38.89,32.28,1.07,1.23
23.31,28.08,1.3,1.74
16.85,30.71,0.78,1.51
41.41,52.21,0.67,2.15
36.58,43.85,1.0,2.82
36.14,26.19,0.3,1.4
35.06,84.84,1.23,2.82
28.43,50.73,0.43,1.37
17.43,41.4,0.25,1.74
28.54,62.38,0.36,2.07
22.6,54.65,1.39,2.21
30.46,64.34,1.27,1.64
17.83,50.04,0.37,1.44
34.66,10.43,1.46,2.89
27.49,59.26,1.0,1.63
23.04,51.86,1.27,1.77
36.49,51.6,1.47,1.87
34.73,85.17,1.25,2.28
11.54,35.74,1.26,1.85
31.66,25.95,1.18,1.52
12.06,43.03,0.37,2.16
39.65,30.32,0.65,2.14
20.86,66.41,0.61,1.86
44.18,11.05,0.69,2.6
22.4,82.89,1.1,2.95
19.81,46.27,0.79,1.65
28.99,44.14,1.43,2.66
35.29,51.82,1.34,2.81
38.18,37.93,1.0,2.22
35.71,48.3,1.09,2.83
27.98,12.58,0.5,2.87
41.28,86.29,1.17,2.65
27.9,57.72,1.27,2.53
34.26,34.63,0.95,2.26
7.57,15.32,0.86,2.69
38.44,21.24,1.34,1.68
7.21,63.25,1.13,2.88
23.65,21.27,1.02,1.36
21.9,14.63,1.46,1.27
24.07,87.66,0.82,1.23
37.76,67.75,1.5,1.74
44.98,23.24,1.47,2.46
29.92,99.45,0.84,1.47
14.29,87.9,1.36,2.03
44.35,41.93,1.44,1.64
44.09,96.95,1.21,2.88
32.89,57.56,0.68,2.67
12.02,53.15,1.13,1.86
21.01,36.27,0.94,2.91
33.39,39.83,0.45,1.62
28.78,99.32,1.34,1.52
41.37,23.86,0.81,2.05
44.58,62.23,1.27,1.97
38.08,21.77,0.49,2.5
9.67,27.75,1.5,2.58
10.55,64.96,1.27,2.52
20.72,74.15,0.86,1.75
25.75,60.37,1.29,2.9
27.31,36.0,0.65,2.88
35.01,68.91,0.87,2.91
37.88,72.76,0.75,1.51
15.67,19.47,1.29,2.64
35.97,93.42,0.89,1.83
41.81,21.58,1.08,2.0
14.58,97.49,0.4,1.95
29.47,49.09,0.86,2.72
24.9,20.51,0.34,2.72
44.08,25.0,0.89,1.21
36.64,81.53,1.04,2.79
31.7,75.48,1.19,1.73
38.77,62.8,0.25,1.73
26.55,58.48,0.54,2.39
21.26,50.22,1.11,1.67
26.57,88.35,1.37,1.89
29.13,59.01,1.01,2.52
33.67,90.79,1.11,1.89
8.14,68.78,1.01,2.86
15.28,72.64,0.84,2.56
20.08,16.82,0.41,1.25
14.68,55.62,0.24,2.62
24.13,33.46,1.45,2.73
7.39,78.36,0.99,2.05
36.29,47.18,0.51,2.36
