Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
34.81,34.17,0.31,1.83,7.57805673143703e-6,4.11283094381256e-11,0.2207462929766507,60.95575497467355,7.41493759582305e-6,3.85516477580702e-11,-0.2178867101585354,59.958284399431875
39.28,26.61,0.26,2.39,5.55248747685355e-6,2.89479879906613e-11,0.2204477838409228,61.15008460397126,5.5191162128958e-6,3.08511973476824e-11,-0.2138655613071749,61.27713713800753
22.01,84.27,1.28,2.48,1.60685074767897e-5,2.45845527940046e-10,0.2178184829853777,61.35344853344049,1.90726754403724e-5,1.6733519183623e-9,-0.1589588644834334,60.69652732650898
13.56,70.33,0.55,1.58,1.87324445155926e-5,2.91296308194152e-10,0.2170980696099264,61.55805309705513,1.55022362999129e-5,4.92516425071723e-10,-0.2004928429131051,62.33022101022803
15.81,82.65,1.33,2.43,1.78305513903104e-5,4.95413692823563e-10,0.210822710992438,63.62335056188256,1.87255157722134e-5,4.90198905669358e-9,-0.1430484829285142,61.643247921863924
15.91,62.69,1.46,2.12,1.33729313349084e-5,3.55241045050514e-10,0.211777144644327,63.23449403400809,1.41556525039479e-5,4.01280794642509e-9,-0.1407514328062763,61.88207837303268
33.84,24.98,0.59,2.51,4.71504430148685e-6,3.43543110471629e-11,0.2205786900759404,62.045456959515356,5.24765600535631e-6,6.51473854102944e-11,-0.197660826868358,61.32033414722858
22.31,64.14,0.59,1.68,1.48882035892074e-5,1.34793486374402e-10,0.2203981032146303,62.119922311704556,1.42382068718817e-5,2.08633558130592e-10,-0.2042187958540017,59.51548479105015
37.1,63.45,0.42,1.66,1.3129320287993e-5,6.91004201159951e-11,0.2225273288453531,60.660092064161866,1.40353651134336e-5,8.05547315778584e-11,-0.2128242204977273,60.897549532799886
40.95,52.9,1.12,2.91,7.87320144716916e-6,6.46385452646286e-11,0.2216960471039813,62.310135660219395,1.16248389895598e-5,3.44131666977933e-10,-0.1693828928587326,58.932871334123
14.68,89.23,1.08,2.82,2.00152649834271e-5,6.27920944795804e-10,0.2095141547855985,64.31077170939892,1.91384283981844e-5,4.57157282839065e-9,-0.1502684922049183,63.93565082450878
18.09,99.84,1.04,2.29,2.14468366816163e-5,3.73420679762147e-10,0.2158469348540741,60.98629425450762,2.21319701768015e-5,1.95887725465614e-9,-0.1658254396961449,62.407212148732626
