Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
34.81,34.17,0.31,1.83,7.57805673143703e-06,4.11283094381256e-11,0.2207462929766507,60.95575497467355,7.41493759582305e-06,3.8551647758070195e-11,-0.2178867101585354,59.95828439943188
39.28,26.61,0.26,2.39,5.55248747685355e-06,2.8947987990661298e-11,0.2204477838409228,61.15008460397126,5.5191162128958e-06,3.08511973476824e-11,-0.2138655613071749,61.27713713800753
22.01,84.27,1.28,2.48,1.60685074767897e-05,2.45845527940046e-10,0.2178184829853777,61.35344853344049,1.90726754403724e-05,1.6733519183623e-09,-0.1589588644834334,60.69652732650898
13.56,70.33,0.55,1.58,1.87324445155926e-05,2.91296308194152e-10,0.2170980696099264,61.55805309705513,1.55022362999129e-05,4.92516425071723e-10,-0.2004928429131051,62.33022101022803
15.81,82.65,1.33,2.43,1.78305513903104e-05,4.95413692823563e-10,0.210822710992438,63.62335056188256,1.87255157722134e-05,4.901989056693581e-09,-0.1430484829285142,61.64324792186392
15.91,62.69,1.46,2.12,1.33729313349084e-05,3.55241045050514e-10,0.211777144644327,63.23449403400809,1.41556525039479e-05,4.01280794642509e-09,-0.1407514328062763,61.88207837303268
33.84,24.98,0.59,2.51,4.71504430148685e-06,3.4354311047162895e-11,0.2205786900759404,62.04545695951536,5.24765600535631e-06,6.514738541029439e-11,-0.197660826868358,61.32033414722858
37.1,63.45,0.42,1.66,1.3129320287993e-05,6.91004201159951e-11,0.2225273288453531,60.660092064161866,1.40353651134336e-05,8.055473157785839e-11,-0.2128242204977273,60.897549532799886
40.95,52.9,1.12,2.91,7.87320144716916e-06,6.46385452646286e-11,0.2216960471039813,62.3101356602194,1.16248389895598e-05,3.44131666977933e-10,-0.1693828928587326,58.932871334123
14.68,89.23,1.08,2.82,2.00152649834271e-05,6.27920944795804e-10,0.2095141547855985,64.31077170939892,1.91384283981844e-05,4.571572828390651e-09,-0.1502684922049183,63.93565082450878
18.09,99.84,1.04,2.29,2.14468366816163e-05,3.73420679762147e-10,0.2158469348540741,60.98629425450762,2.21319701768015e-05,1.9588772546561402e-09,-0.1658254396961449,62.40721214873263
9.96,27.01,0.59,1.83,7.48187241353393e-06,2.1692935342012002e-10,0.2116758876951048,61.95932696675108,5.83059228086674e-06,4.26460456111834e-10,-0.1900165223892131,61.28290103043354
9.96,87.98,0.35,1.65,2.52929173031033e-05,5.74553215018321e-10,0.2141236464304984,60.84085977631359,1.982505987422e-05,6.46891009344196e-10,-0.2080564806143542,60.03428026415343
34.94,50.07,0.42,2.45,1.01486893621986e-05,6.57025446049758e-11,0.2198608625475268,61.850562011439614,1.11590186286075e-05,9.110932778074189e-11,-0.2070479256242405,59.06799108305499
13.8,70.69,0.78,1.61,1.77628135182352e-05,3.1192721074930803e-10,0.2164488874540519,61.279379066771554,1.55183393933004e-05,8.74489200195402e-10,-0.1864225247136957,61.88842662794913
12.43,49.13,0.49,2.37,1.30933061388833e-05,3.25550848502953e-10,0.2100543555403592,62.09444113940163,1.10673162940164e-05,6.552279800158901e-10,-0.1871944574190807,61.618353349164266
34.77,60.96,1.42,1.95,9.4254720753181e-06,8.755849654027519e-11,0.2226599551973621,62.47701462013224,1.31566369533497e-05,6.740879143598701e-10,-0.1600564803917648,61.04244429423836
35.54,91.16,0.9,2.73,1.52935480331021e-05,1.26919438319864e-10,0.2211678784974106,62.334157255377775,1.97431760071528e-05,4.92013859861062e-10,-0.1780068594131806,61.19116046566947
44.43,98.58,0.64,2.42,1.64456723115601e-05,9.7341296101219e-11,0.2223690806598247,61.56139659868945,2.17962602450422e-05,1.95810351634695e-10,-0.1967715838291265,61.234421563646976
9.35,81.17,0.54,1.73,2.29917363655147e-05,8.28365369408458e-10,0.2073995304394814,63.269553375066565,1.80142877653984e-05,1.19739066637918e-09,-0.1930601881212279,60.049054463022586
43.32,88.58,1.47,2.03,1.18458660157578e-05,9.53772982802162e-11,0.2246924966216465,62.36708141314218,1.90431732750755e-05,7.72168591763788e-10,-0.1595730466737594,60.7648980898449
13.88,38.28,0.75,1.97,9.54622219237217e-06,1.85238852254146e-10,0.2148457314761362,60.900255205944845,8.43242530115171e-06,5.40864762193045e-10,-0.1830936984769356,62.85978591348491
24.33,82.81,0.97,1.9,1.65088902496724e-05,1.78209218468082e-10,0.2196413331337915,61.99340249675962,1.81943019286701e-05,5.79084420683056e-10,-0.1816818883879521,61.2804203886339
20.14,84.48,1.38,2.21,1.67802337660272e-05,2.94285830500565e-10,0.2157439121445203,60.81730426647701,1.90460126009615e-05,2.8726647030339e-09,-0.148232146698894,62.37748762378281
31.41,29.88,0.75,2.02,5.84206769465818e-06,4.3037360583901097e-11,0.2219906778483055,61.86505404455772,6.51886108211686e-06,1.03936502463199e-10,-0.1929347278303232,60.236014259219054
16.85,55.68,0.6,2.25,1.35564161511414e-05,2.00754262655262e-10,0.2156668464818106,61.14114768574823,1.23503675365008e-05,4.43051011202241e-10,-0.1911010710836962,59.60417079233492
23.04,39.79,0.21,2.3,9.84421674699164e-06,8.28854681119819e-11,0.2181942974270079,62.11416531572829,8.84314591823819e-06,7.661663783746749e-11,-0.2163990180263415,61.23971785806933
37.71,96.86,0.32,2.11,2.02549592823859e-05,1.08178447267642e-10,0.2211719968435898,61.038410012582005,2.18574964003625e-05,1.18687507007824e-10,-0.2134084767041703,61.13096078309597
37.01,12.91,1.05,2.73,2.09875610892647e-06,1.66056698356258e-11,0.2220453701817204,62.36544734243549,2.64065997320528e-06,7.488380025724419e-11,-0.1752073399738151,60.21287417789411
7.99,87.89,0.47,2.72,2.46751870812929e-05,2.4520632760451e-09,0.1939529618366898,66.23366105516753,1.99428041184819e-05,4.3539786161824506e-09,-0.1721977818059416,64.5126515867506
