Gate,Flavor,Lch_nm,Wch_nm,Tch_nm,Tox1_nm,Tox2_nm,Delay_ps,Power_nW,Beta_Ratio
INV,HP,15.74,78.78,7.08,0.27,1.5,4.303,12.404,0.626
INV,HP,17.66,79.8,7.37,0.24,1.79,4.377,11.63,0.628
INV,HP,19.78,77.31,7.82,0.21,1.71,4.391,9.29,0.632
INV,HP,21.02,78.54,7.95,0.24,1.77,4.423,8.659,0.634
INV,HP,20.05,76.5,7.44,0.2,1.52,4.439,6.399,0.635
INV,HP,25.82,78.85,7.91,0.22,1.62,4.444,3.389,0.626
INV,RVT,32.94,79.41,7.9,0.21,1.84,4.521,1.188,0.597
INV,RVT,33.76,79.61,7.89,0.26,1.69,4.557,1.031,0.597
INV,RVT,32.32,79.02,7.37,0.2,1.75,4.6,0.953,0.592
INV,RVT,34.27,79.24,7.28,0.23,1.59,4.665,0.606,0.59
INV,RVT,34.8,79.43,7.18,0.24,1.6,4.717,0.505,0.591
INV,RVT,34.66,79.44,7.0,0.23,1.68,4.782,0.453,0.591
INV,RVT,34.75,75.73,7.26,0.21,1.53,4.808,0.385,0.592
INV,RVT,34.7,78.78,6.58,0.25,1.53,4.983,0.231,0.592
INV,RVT,34.85,77.04,6.31,0.21,1.52,5.107,0.144,0.588
INV,RVT,34.4,79.89,5.85,0.24,1.55,5.218,0.136,0.584
INV,LP,34.67,23.14,4.03,0.22,1.6,17.192,0.124,0.498
INV,LP,32.45,21.87,4.42,0.29,1.57,18.616,0.122,0.516
INV,LP,30.83,21.83,4.16,0.2,1.55,18.792,0.111,0.503
INV,LP,34.14,19.86,4.53,0.21,1.65,18.927,0.105,0.499
INV,LP,33.47,19.15,4.41,0.28,1.56,20.635,0.105,0.498
INV,LP,34.9,18.67,4.25,0.24,1.84,20.921,0.102,0.484
INV,LP,34.08,17.54,4.42,0.25,1.94,22.437,0.102,0.488
INV,LP,34.56,15.6,4.35,0.47,1.97,26.498,0.102,0.495
NAND2,HP,17.11,79.63,7.92,0.2,1.52,4.937,13.499,0.623
NAND2,HP,15.74,78.78,7.08,0.27,1.5,5.244,12.404,0.626
NAND2,HP,17.66,79.8,7.37,0.24,1.79,5.342,11.595,0.628
NAND2,HP,19.78,77.31,7.82,0.21,1.71,5.384,9.279,0.632
NAND2,HP,25.82,78.85,7.91,0.22,1.62,5.394,3.368,0.626
NAND2,RVT,32.94,79.41,7.9,0.21,1.84,5.527,1.18,0.597
NAND2,RVT,33.76,79.61,7.89,0.26,1.69,5.587,1.046,0.597
NAND2,RVT,32.32,79.02,7.37,0.2,1.75,5.649,0.979,0.592
NAND2,RVT,34.27,79.24,7.28,0.23,1.59,5.737,0.65,0.59
NAND2,RVT,34.8,79.43,7.18,0.24,1.6,5.791,0.544,0.591
NAND2,RVT,34.66,79.44,7.0,0.23,1.68,5.864,0.487,0.591
NAND2,RVT,34.16,79.66,6.79,0.2,1.73,5.89,0.443,0.589
NAND2,RVT,34.75,75.73,7.26,0.21,1.53,5.893,0.41,0.592
NAND2,RVT,34.7,78.78,6.58,0.25,1.53,6.084,0.237,0.592
NAND2,RVT,34.85,77.04,6.31,0.21,1.52,6.223,0.143,0.588
NAND2,RVT,34.4,79.89,5.85,0.24,1.55,6.352,0.134,0.584
NAND2,LP,33.05,19.11,5.2,0.3,1.52,23.626,0.134,0.529
NAND2,LP,33.52,19.51,5.23,0.38,1.51,23.826,0.133,0.538
NAND2,LP,31.79,19.78,5.03,0.29,1.6,23.877,0.132,0.532
NAND2,LP,34.49,15.99,5.81,0.21,1.57,24.141,0.127,0.522
NAND2,LP,30.67,18.1,5.47,0.24,1.62,24.782,0.124,0.542
NAND2,LP,33.9,15.84,5.99,0.23,1.65,24.841,0.122,0.534
NAND2,LP,31.53,17.23,5.46,0.22,1.57,25.073,0.119,0.53
NAND2,LP,32.78,15.85,5.68,0.2,1.71,25.795,0.118,0.525
NAND2,LP,31.75,15.56,5.9,0.21,1.59,25.994,0.115,0.537
NAND2,LP,30.28,16.48,5.54,0.2,1.68,26.429,0.114,0.534
NAND2,LP,28.22,16.63,5.45,0.2,1.53,26.673,0.113,0.539
NAND2,LP,28.26,17.26,4.94,0.26,1.55,27.66,0.112,0.53
NAND2,LP,25.21,18.07,4.43,0.2,1.63,27.661,0.111,0.522
NOR2,HP,17.11,79.63,7.92,0.2,1.52,5.75,26.73,0.623
NOR2,HP,15.74,78.78,7.08,0.27,1.5,5.964,24.818,0.626
NOR2,HP,25.82,78.85,7.91,0.22,1.62,6.056,6.771,0.626
NOR2,HP,26.1,77.67,7.7,0.21,1.71,6.202,5.859,0.624
NOR2,HP,25.5,76.72,7.71,0.22,1.56,6.204,5.84,0.627
NOR2,HP,27.92,79.87,7.55,0.23,1.66,6.248,4.071,0.618
NOR2,HP,32.94,79.41,7.9,0.21,1.84,6.313,2.453,0.597
NOR2,HP,33.76,79.61,7.89,0.26,1.69,6.395,2.156,0.597
NOR2,HP,32.32,79.02,7.37,0.2,1.75,6.482,2.0,0.592
NOR2,RVT,34.27,79.24,7.28,0.23,1.59,6.533,1.234,0.59
NOR2,RVT,34.8,79.43,7.18,0.24,1.6,6.573,1.013,0.591
NOR2,RVT,34.66,79.44,7.0,0.23,1.68,6.652,0.905,0.591
NOR2,RVT,34.75,75.73,7.26,0.21,1.53,6.668,0.774,0.592
NOR2,RVT,34.7,78.78,6.58,0.25,1.53,6.902,0.469,0.592
NOR2,RVT,34.85,77.04,6.31,0.21,1.52,7.075,0.312,0.588
NOR2,RVT,34.4,79.89,5.85,0.24,1.55,7.245,0.287,0.584
NOR2,RVT,34.38,79.37,5.52,0.75,1.55,9.048,0.285,0.607
NOR2,RVT,33.54,78.02,5.2,1.07,1.55,10.671,0.284,0.627
NOR2,LP,34.67,23.14,4.03,0.22,1.6,24.774,0.243,0.498
NOR2,LP,30.83,21.83,4.16,0.2,1.55,27.043,0.229,0.503
NOR2,LP,34.14,19.86,4.53,0.21,1.65,27.282,0.223,0.499
NOR2,LP,33.97,20.17,4.22,0.27,1.55,28.366,0.205,0.493
NOR2,LP,33.35,18.78,4.45,0.23,1.79,29.79,0.195,0.494
NOR2,LP,34.9,18.67,4.25,0.24,1.84,29.933,0.181,0.484
NOR2,LP,34.68,18.63,4.15,0.27,1.68,30.482,0.179,0.482
NOR2,LP,32.2,18.89,4.11,0.21,1.71,30.504,0.174,0.484
NOR2,LP,33.3,18.42,4.05,0.23,1.62,30.84,0.168,0.476
NOR2,LP,34.01,16.57,4.08,0.24,2.04,33.468,0.162,0.469
NOR2,LP,32.96,15.99,4.14,0.24,1.68,33.718,0.162,0.465
