Lch,Wch,Tch,Tox1,Tox2
31.96,59.63,6.85,0.77,1.65
23.1,23.39,7.65,1.1,1.75
28.66,27.09,4.72,0.64,2.01
34.6,36.33,5.88,1.07,1.64
34.66,49.03,4.1,0.87,1.6
30.14,70.99,7.02,0.98,2.19
32.93,57.64,6.73,1.05,1.81
28.53,69.24,6.49,0.67,2.17
21.67,60.4,7.32,0.52,1.67
28.02,66.32,6.23,1.03,1.91
16.03,69.47,6.81,0.24,2.12
22.36,21.39,6.93,0.61,1.94
30.49,44.41,4.46,1.09,2.1
16.05,48.7,7.07,0.93,1.71
30.51,62.09,5.43,1.16,1.65
33.51,72.52,7.92,1.08,1.56
19.1,44.73,6.17,0.92,1.56
26.85,28.81,6.7,0.63,1.79
16.46,59.94,6.84,0.57,1.85
26.79,48.36,7.8,0.97,2.17
29.28,38.04,5.17,0.73,1.97
33.68,31.79,7.56,0.2,1.86
21.47,54.77,5.04,0.42,1.55
16.36,57.02,5.01,0.95,1.53
34.94,15.21,4.41,0.46,1.63
17.11,31.4,7.9,1.16,1.88
19.42,33.6,5.47,0.95,1.64
29.94,76.53,6.23,0.93,1.85
19.57,34.5,5.93,0.72,1.83
27.43,74.74,7.79,0.46,2.07
31.9,64.87,5.77,0.65,1.94
26.12,76.27,5.95,0.39,1.79
25.77,54.1,5.04,0.81,2.05
18.93,26.01,5.19,1.18,1.75
18.85,16.3,5.67,0.48,1.56
19.45,47.79,7.77,0.71,1.82
27.21,42.23,4.16,0.35,2.02
18.88,26.39,6.25,0.26,1.92
30.83,48.59,4.18,0.48,1.79
21.77,23.99,7.45,0.28,1.57
24.68,56.66,7.99,0.89,1.56
22.93,58.17,4.54,0.32,2.12
22.4,44.1,6.63,0.97,2.15
15.21,41.63,7.92,0.93,1.53
20.51,54.22,7.02,0.98,2.18
27.72,67.99,5.8,0.23,1.69
34.48,19.77,7.07,1.08,1.93
29.36,21.75,4.09,0.41,1.58
16.61,49.46,6.73,1.05,2.06
19.98,61.45,5.69,0.47,1.78
33.48,37.59,6.79,0.71,1.84
15.17,78.14,5.36,1.18,1.82
22.64,63.33,5.14,0.93,2.18
33.06,68.12,4.87,0.67,1.9
19.54,70.77,7.95,0.66,1.92
34.17,29.5,7.88,0.23,2.15
22.89,76.3,5.82,0.45,2.1
26.67,64.7,5.46,0.39,1.57
21.87,66.44,4.69,0.95,1.77
26.13,39.72,5.92,0.76,1.79
34.84,39.19,6.93,0.85,1.77
18.22,34.99,6.98,0.71,1.86
18.53,76.61,6.49,0.68,2.12
25.53,38.24,6.98,0.77,1.62
33.31,69.55,6.51,0.96,2.09
28.56,60.53,6.6,0.48,1.52
20.44,22.47,5.37,0.92,1.68
21.89,48.79,7.21,1.18,2.0
18.49,19.58,5.12,0.64,1.58
25.62,17.83,5.11,0.6,2.06
17.98,67.91,7.28,0.51,1.59
17.03,64.07,7.51,0.26,1.54
28.72,52.29,4.03,0.6,1.58
26.82,30.53,6.59,0.82,1.64
20.26,62.27,4.55,0.98,2.11
23.34,25.0,4.9,0.35,2.15
23.76,33.91,4.18,0.32,1.8
32.16,40.82,5.97,0.2,1.89
21.43,24.3,7.9,0.42,1.94
23.94,49.72,7.88,0.39,1.59
25.34,58.52,6.09,0.47,1.9
31.38,42.51,5.4,1.02,1.89
24.84,41.25,6.95,0.54,2.2
23.68,39.8,4.81,0.41,1.62
24.49,15.89,5.05,0.64,1.52
22.2,25.7,7.98,0.24,2.15
18.82,74.09,7.81,0.34,1.59
32.77,51.38,4.45,0.58,1.72
23.29,78.34,7.51,0.51,2.12
27.09,45.72,5.84,0.22,1.88
21.12,72.83,6.02,0.78,2.1
25.9,44.95,7.41,0.74,1.83
16.1,21.52,6.91,0.8,1.97
28.24,58.82,7.04,0.27,2.04
16.94,35.45,4.62,0.53,1.61
32.75,40.57,6.48,0.55,1.77
29.81,72.59,4.99,0.56,1.97
19.91,33.37,5.1,0.95,1.95
25.75,44.14,7.38,0.53,1.71
34.08,18.83,6.48,1.14,1.85
32.39,49.39,4.41,0.5,1.73
20.34,26.35,5.34,0.5,1.53
34.91,75.12,6.22,0.48,1.96
30.31,44.03,7.06,1.14,1.7
27.6,77.17,7.83,1.19,1.86
20.74,62.73,4.67,1.09,1.68
18.97,66.9,5.53,0.35,1.55
20.05,75.8,5.99,0.26,1.93
33.24,78.53,7.11,0.42,1.66
19.49,26.74,5.26,0.9,1.93
25.29,70.48,4.19,0.86,1.66
25.34,56.4,4.78,0.48,1.85
23.76,17.07,6.11,1.05,2.07
15.03,60.84,7.63,0.96,2.05
16.16,59.15,7.63,0.94,1.87
27.56,79.44,5.63,1.04,1.97
22.73,20.43,4.46,0.35,1.59
18.51,42.66,5.78,0.51,2.06
