Lch,Wch,Tch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
24.39,53.24,4.58,0.86,2.03,4.98529605565131e-5,6.01374645275609e-11,0.2268112338739922,56.19022509069041,3.21588671735206e-5,3.20139108372015e-11,-0.2465466608746149,68.6008174452894
26.05,15.58,5.55,1.02,2.04,1.51933212421328e-5,1.8044005592244e-11,0.2633430666416059,60.65420555617748,9.20085598275856e-6,9.46078777730318e-12,-0.2726624891815232,70.6366861033258
24.85,30.07,7.6,0.49,1.57,4.36407460819964e-5,5.78211160785635e-11,0.2324067903325313,61.3733217444222,2.78813657881412e-5,3.14134209395631e-11,-0.2374692909610359,65.08594736662249
32.49,38.2,4.98,0.51,2.06,4.17835751898024e-5,2.61240474607541e-11,0.2447510940272062,67.79764364579202,2.53236014352425e-5,1.27641250874924e-11,-0.2562695070045449,66.68861133345602
30.35,25.51,7.8,0.58,1.72,3.22578998990148e-5,3.38380269777042e-11,0.243616893342383,68.5658619026005,2.01248782871358e-5,1.66861445288775e-11,-0.2555027072471707,68.93484159478183
28.14,22.59,6.85,0.71,1.59,2.5673285450438e-5,2.8022209478867e-11,0.245969206717154,68.77698336549379,1.61675769084984e-5,1.45033286477626e-11,-0.2576731192443585,68.87911000122388
21.4,58.39,4.15,0.63,2.0,5.62035252959561e-5,6.5871117673092e-11,0.2198449362236633,53.68145138825961,3.38645810200596e-5,3.4692761137227e-11,-0.2443255304375491,68.3589584550498
32.54,51.21,4.74,0.38,2.14,5.83199170188038e-5,3.23865441832413e-11,0.2422260015683146,67.76126829127737,3.40659794303995e-5,1.59026127013683e-11,-0.2515009590837204,66.76485829014479
22.25,27.95,7.96,0.5,1.99,3.75499896332923e-5,8.98781673651267e-11,0.2172747643092552,61.98412266669828,2.39447571970565e-5,4.73189135110219e-11,-0.2443172383520184,69.497942077299
17.16,41.23,6.99,0.49,1.77,5.85385467866437e-5,2.62266598309735e-10,0.1873587914719848,68.95080134637851,3.82865490245609e-5,1.55379277462645e-10,-0.21232978718058,69.05264988461978
28.9,27.73,7.89,1.12,1.69,2.68967982749299e-5,5.96566310081769e-11,0.2392807004965445,67.95181439708092,-999.0,-999.0,-999.0,-999.0
