Lch,Wch,Tch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
26.05,15.58,5.55,1.02,2.04,1.51933212421328e-05,1.8044005592244e-11,0.2633430666416059,60.65420555617748,9.20085598275856e-06,9.46078777730318e-12,-0.2726624891815232,70.6366861033258
24.85,30.07,7.6,0.49,1.57,4.36407460819964e-05,5.7821116078563493e-11,0.2324067903325313,61.3733217444222,2.78813657881412e-05,3.14134209395631e-11,-0.2374692909610359,65.08594736662249
32.49,38.2,4.98,0.51,2.06,4.17835751898024e-05,2.61240474607541e-11,0.2447510940272062,67.79764364579202,2.53236014352425e-05,1.2764125087492399e-11,-0.2562695070045449,66.68861133345602
28.14,22.59,6.85,0.71,1.59,2.5673285450438e-05,2.8022209478867002e-11,0.245969206717154,68.77698336549379,1.61675769084984e-05,1.4503328647762598e-11,-0.2576731192443585,68.87911000122388
21.4,58.39,4.15,0.63,2.0,5.62035252959561e-05,6.5871117673092e-11,0.2198449362236633,53.68145138825961,3.38645810200596e-05,3.4692761137227e-11,-0.2443255304375491,68.3589584550498
32.54,51.21,4.74,0.38,2.14,5.83199170188038e-05,3.2386544183241294e-11,0.2422260015683146,67.76126829127737,3.40659794303995e-05,1.59026127013683e-11,-0.2515009590837204,66.76485829014479
22.25,27.95,7.96,0.5,1.99,3.75499896332923e-05,8.98781673651267e-11,0.2172747643092552,61.98412266669828,2.39447571970565e-05,4.73189135110219e-11,-0.2443172383520184,69.497942077299
17.16,41.23,6.99,0.49,1.77,5.85385467866437e-05,2.62266598309735e-10,0.1873587914719848,68.95080134637851,3.82865490245609e-05,1.55379277462645e-10,-0.21232978718058,69.05264988461978
15.01,37.77,7.18,0.83,1.87,4.55551188835558e-05,1.3133050201599701e-09,0.169889330322669,76.97262132070016,3.0106781646563e-05,8.56002077057672e-10,-0.1784643103804998,72.68598397838431
28.71,53.37,5.17,0.53,2.09,5.29587763990875e-05,4.752381927010459e-11,0.2350051547267692,63.28485382332039,3.22513371437495e-05,2.3768093560968898e-11,-0.248247994245845,68.0173857612272
20.8,44.68,6.69,0.84,1.68,4.75022753510513e-05,2.00062855329382e-10,0.1926340927288607,68.0705997974372,3.06813292097262e-05,1.07301218153243e-10,-0.2153438774660612,66.6024961544246
26.54,46.01,6.64,1.19,1.67,4.00899894823829e-05,1.0562826371902001e-10,0.2091114109713071,63.50622322806967,2.58620246131577e-05,5.821122983224269e-11,-0.241336960836689,67.198521296668
20.54,28.73,7.87,0.62,2.06,3.56657923746368e-05,1.66446501146566e-10,0.2007933011057063,68.8111100999634,2.31058287158905e-05,8.6265878304393e-11,-0.2306728798517199,67.22438850640009
16.29,78.33,4.77,0.85,1.63,8.03645959870331e-05,3.05221006511088e-10,0.1821523302547123,68.13309483147451,5.17076647829267e-05,1.79629177158457e-10,-0.1954877154839021,67.4751100867031
24.99,72.15,7.86,0.66,1.53,8.82183466068807e-05,2.03026394275398e-10,0.1868529435670262,66.0604555289481,5.91253932467909e-05,1.14492941422237e-10,-0.2115154666864904,66.49639604577301
24.43,79.2,6.47,0.41,2.0,6.52611100750284e-05,1.35687320947019e-10,0.1928319191483347,62.47375038307709,6.40787306233623e-05,7.33150447412314e-11,-0.2150416978269022,57.90493466751639
17.05,27.64,7.6,0.31,2.06,4.41927193981416e-05,1.71815397078965e-10,0.1986437353884826,68.1839915494607,2.87744845952037e-05,1.0095153866013001e-10,-0.2215423455752623,67.9493545734815
26.41,70.42,5.36,0.57,2.08,6.80357540110031e-05,7.947283552775759e-11,0.2095213080099159,56.42946729140149,4.23657049813373e-05,4.1686067532348696e-11,-0.2434877193301302,68.2405111812425
21.47,19.1,7.08,0.71,2.1,2.44147644494019e-05,5.54041616183991e-11,0.241291618364931,69.1823594366699,1.51703828601706e-05,2.97571554073884e-11,-0.2510313556525127,70.93954895281642
24.6,50.02,4.16,0.3,1.88,6.16440602913151e-05,3.66857706476445e-11,0.241439483762565,67.8885109973777,3.55409108946322e-05,1.89182405843523e-11,-0.2501423623876699,67.25614499062249
24.6,50.88,7.13,0.64,1.66,6.20644130660459e-05,1.11293791718776e-10,0.2025271447299557,62.1142910629193,4.06231954692244e-05,6.118866269165489e-11,-0.2306111872902779,57.62859415865651
26.43,68.03,4.14,1.15,2.06,4.86681405514262e-05,6.46673222520792e-11,0.2223925666896194,54.08670478446911,3.06532938235628e-05,3.44138826289415e-11,-0.2457507436163559,68.57464582355671
20.02,65.88,7.78,0.22,1.65,9.40745310727963e-05,2.37264065337934e-10,0.1837975495560769,66.5114090724339,5.91807826682454e-05,1.28868575994534e-10,-0.1995469747446815,64.60661900835191
28.99,18.92,4.56,0.84,1.62,1.82132818368744e-05,1.2938939178546099e-11,0.2569974745279737,67.53890154818043,1.07829123397253e-05,6.42111094948835e-12,-0.2779783178194468,65.94958223331193
26.13,67.7,4.86,0.96,2.04,5.52590533222224e-05,8.04232304594097e-11,0.2261126020610179,71.6382128599771,3.47555688484031e-05,4.2526542576609796e-11,-0.243947720487839,68.48516538933691
25.83,54.03,6.74,0.78,1.71,5.96039164554377e-05,1.03759191008774e-10,0.2219867604009282,78.83759958628661,3.53283928063115e-05,5.52592357247874e-11,-0.2375002154464687,64.72078878880811
18.92,32.76,7.4,0.36,1.96,4.26366043958454e-05,1.46910566863298e-10,0.2083544871290094,61.0521782379016,2.67960878961481e-05,8.1640885527162e-11,-0.2257488416980576,64.50910929349548
23.34,16.89,4.47,0.59,1.55,2.02022941318036e-05,1.39196185386819e-11,0.2561195823591478,67.65914750119408,1.18904018059415e-05,7.232371229474689e-12,-0.2743168179486327,66.11828761200991
30.01,59.15,4.19,1.11,1.89,4.45067853865087e-05,4.2302290541677003e-11,0.2408393930838107,68.14647276917619,2.8156247438687e-05,2.10001596870804e-11,-0.2503899695919728,68.20705740766988
30.56,18.98,7.46,0.83,1.68,2.23059711032286e-05,2.2734323868196198e-11,0.2489851513240404,68.95965814900597,1.40520689490061e-05,1.1335446799378e-11,-0.2646517153226238,69.36016124487281
33.0,45.39,4.26,0.52,2.13,4.71104382644291e-05,2.5585329406930598e-11,0.2446143137758161,67.5916473986152,2.78709087204581e-05,1.2420160802114598e-11,-0.2564927427326523,66.44804374530702
22.13,15.82,4.95,0.4,1.87,2.03522687783487e-05,1.5362102883265498e-11,0.2535543535978975,67.44237434025072,1.211884896735e-05,7.91714818711784e-12,-0.2763663172360173,60.6110420659505
22.5,41.69,5.02,0.31,1.67,4.98011549187928e-05,4.4092806985739294e-11,0.2404250617733989,68.0899052324634,3.10026474007567e-05,2.30585205627665e-11,-0.2488144165199372,67.94729293889509
22.02,71.03,4.36,0.36,1.92,7.56415521352154e-05,6.896382743411269e-11,0.2138910193845195,53.4014664938319,4.58478673343234e-05,3.5694329451750894e-11,-0.2443388566163661,68.06816012005679
17.62,54.27,4.52,1.05,2.13,5.07016204742401e-05,2.0219365636464501e-10,0.1928481182448535,68.06145364873821,3.03461572091889e-05,2.73064724076003e-17,-0.1768851489472374,29.914944770451285
34.87,60.59,7.69,1.12,2.13,5.06774320569304e-05,8.675154930757019e-11,0.2114077930382578,59.75484346517359,3.17285439555201e-05,4.4403943411659497e-11,-0.2432179886624241,68.85678099428011
29.5,43.11,4.6,0.31,1.8,4.82141108079092e-05,2.8528670650247098e-11,0.2432808583524197,67.59847721563789,2.81260300685242e-05,5.90331957142789e-13,-0.2648088287970969,68.30942464010067
29.5,18.23,6.06,0.44,1.53,2.3246079391761e-05,1.5859805706945398e-11,0.2522701664403812,67.5006144880749,1.48851813861329e-05,7.72583232358685e-12,-0.2697686476348874,65.76371311055698
31.41,33.3,6.11,0.91,1.67,3.29319959012315e-05,3.33929720329334e-11,0.2435443767586774,68.4928920116448,2.11329373142299e-05,1.67479065902787e-11,-0.2551403982453571,68.83720443880212
32.87,22.43,4.67,0.4,1.92,2.74352123459682e-05,6.67250078440257e-12,0.2638675208387208,68.29239052450828,1.58150891933682e-05,6.25785620521382e-12,-0.2743452139397735,63.46037815759392
24.45,74.46,5.82,0.25,1.97,0.0001008293464053,9.22486448867527e-11,0.2022298197016376,57.87421207768698,6.15281892825294e-05,4.89995701442615e-11,-0.2310650513474401,57.02704417938731
18.02,55.72,5.43,0.7,2.1,6.20035874230395e-05,2.11007535247061e-10,0.2077996731583397,85.48751969428439,3.5411188820263e-05,1.18329664842775e-10,-0.2086710299694614,66.32011355789871
18.84,52.31,4.45,1.07,2.17,4.22944598833818e-05,1.51267244687858e-10,0.2088043747229623,68.17115303228258,2.67977202245085e-05,8.533885678206829e-11,-0.2238193575191143,64.6739051856629
28.42,55.05,5.9,0.88,2.2,4.84932808337066e-05,7.338741460480829e-11,0.2170306817233888,56.6514922673198,3.11003048861332e-05,3.8227929240302695e-11,-0.245094891747349,68.68942654956881
28.42,35.0,6.02,0.8,2.19,3.33367885850033e-05,4.43555670037794e-11,0.2413391790978537,68.5261546668478,2.0971389480527e-05,2.2981583136607098e-11,-0.2512811286301761,69.2632505154143
34.4,16.75,5.55,0.5,2.19,2.18632960466847e-05,1.1040413041715299e-11,0.2596087516451421,66.66937109913887,1.32504364352377e-05,5.41931964991644e-12,-0.2822367362333398,63.89752490196379
34.4,68.46,4.97,0.83,1.73,6.31920598160673e-05,4.57497180368231e-11,0.2354672677758733,63.63159273306998,4.10937523998601e-05,2.27253082018744e-11,-0.2483061472208777,67.84480536129311
31.47,61.25,4.8,0.31,1.5,7.2871508254813e-05,3.8598447120894795e-11,0.2406422129660727,67.81515991994257,4.35105891171559e-05,1.8795181828447397e-11,-0.2485229390981316,66.839371212708
27.09,60.67,6.48,1.02,2.1,5.19688564511406e-05,1.27601679780671e-10,0.1998766450851536,63.98299085764109,3.38433632343976e-05,6.692897961905279e-11,-0.2279964123959828,59.99995451185431
15.39,34.53,6.71,0.36,1.87,4.87150440136793e-05,2.31751655542046e-10,0.1908021715133837,68.85054088184239,3.07819264212087e-05,1.39819875288204e-10,-0.2087229151973176,69.22520240327299
28.85,70.99,5.0,0.75,2.03,6.29241558801056e-05,6.50340835727523e-11,0.2176491235533399,52.99799519979351,3.94945779110855e-05,3.30754347038278e-11,-0.2452003613521752,68.21588412344701
25.37,40.59,6.6,0.83,1.55,4.47423973339831e-05,7.649121609306969e-11,0.218921862135291,58.47349483966941,3.05959983724076e-05,4.18875819232005e-11,-0.2451675354203419,69.00001750097678
25.64,60.22,7.42,0.43,1.55,8.69073487859198e-05,1.11311095694062e-10,0.1991286168919852,61.04772013860568,4.58760772743727e-05,5.889490071278589e-11,-0.2264571048588162,55.235047299894816
17.99,25.6,6.69,0.95,2.02,2.13010814041266e-07,2.13295193233549e-10,0.2157452456408489,88.4711198516587,1.73455186250715e-05,1.15227692377062e-10,-0.228204324564989,73.07126313372959
15.45,68.42,5.91,0.46,1.73,8.62171365727216e-05,3.66259514139507e-10,0.1794930537380748,68.49192470153912,5.44888289437086e-05,2.18964831486283e-10,-0.1913395975968044,68.37079685807451
20.74,53.44,7.39,0.37,1.77,7.09492336316651e-05,1.84387644630874e-10,0.1899889782690435,65.87868741569211,4.43819881546153e-05,3.77007813350446e-11,-0.2169216449315989,59.1558015257738
22.61,53.65,5.58,0.55,1.64,6.10737818717762e-05,7.96045398256275e-11,0.2119411921146171,56.99217989145639,3.83209382034074e-05,4.18529250575356e-11,-0.2439763494603385,68.41516682096498
27.22,55.36,4.76,0.86,1.97,4.61565358474163e-05,5.336197282112509e-11,0.2314875554447547,60.2869623713406,2.91723653934978e-05,2.7637335525584898e-11,-0.2475249379455682,68.4612011467374
34.89,77.49,7.38,0.6,1.74,8.88358396188169e-05,8.240544047351539e-11,0.2062215808406703,56.71704387774079,5.04069167755858e-05,4.13322189558144e-11,-0.2421510215052601,68.16863735515952
26.12,25.9,6.28,0.61,1.75,2.93933367171602e-05,3.2844376031641396e-11,0.2469718916938282,71.5893717091646,1.77033263632174e-05,1.7205122724758498e-11,-0.2551175834364791,68.99339852493853
34.01,50.53,4.55,0.32,1.64,6.61760927162567e-05,2.75847112036464e-11,0.2433619673777105,67.45555444833018,3.73673198798814e-05,1.3415052026903299e-11,-0.2532932073557703,65.81485959740832
26.34,17.14,7.54,0.5,1.54,2.29090393098446e-05,2.3712528292141797e-11,0.2481943553310198,68.78167917138109,1.38288685145101e-05,1.21690905537424e-11,-0.26178186931445,68.73909877506942
