size,test_mse,seed
50,0.1848044991493225,5042
50,0.19485923647880554,5043
50,0.17626509070396423,5044
50,0.18532323837280273,5045
50,0.18440720438957214,5047
50,0.24647578597068787,5046
50,0.2152169793844223,5048
50,0.2208186388015747,5049
57,0.18266138434410095,5742
50,0.2530721426010132,5050
50,0.23279882967472076,5051
57,0.19987361133098602,5743
57,0.1911991983652115,5744
57,0.16286209225654602,5745
57,0.19434013962745667,5747
57,0.17261584103107452,5746
57,0.20762479305267334,5748
57,0.19938962161540985,5749
57,0.32308509945869446,5751
57,0.1813996136188507,5750
65,0.15874101221561432,6543
65,0.1845797449350357,6542
65,0.23653298616409302,6544
65,0.21301934123039246,6545
65,0.1764930784702301,6546
65,0.16619551181793213,6547
65,0.15235212445259094,6548
65,0.15596525371074677,6549
65,0.17907026410102844,6550
65,0.16825249791145325,6551
75,0.1621033251285553,7543
75,0.16978128254413605,7542
75,0.17298710346221924,7544
75,0.14825724065303802,7545
75,0.1760360449552536,7547
75,0.14908960461616516,7546
75,0.19321632385253906,7548
75,0.2099481225013733,7549
75,0.1700231432914734,7550
75,0.1799771934747696,7551
86,0.15629111230373383,8644
86,0.14884310960769653,8643
86,0.17724920809268951,8642
86,0.20945778489112854,8645
86,0.1787225306034088,8646
86,0.15730033814907074,8647
86,0.15294325351715088,8648
86,0.23877358436584473,8649
86,0.1355241984128952,8651
86,0.15216349065303802,8650
99,0.16401369869709015,9942
99,0.1843501627445221,9943
99,0.16620276868343353,9944
99,0.150303915143013,9945
99,0.21953921020030975,9946
99,0.2125694900751114,9948
99,0.14864157140254974,9947
99,0.1639615148305893,9949
99,0.1382623165845871,9950
99,0.15367570519447327,9951
114,0.13221029937267303,11442
114,0.15988080203533173,11444
114,0.16167837381362915,11443
114,0.16159510612487793,11445
114,0.1540641337633133,11447
114,0.1356423795223236,11446
114,0.1415904462337494,11448
114,0.17801660299301147,11450
114,0.14394159615039825,11449
114,0.1545615792274475,11451
131,0.15215449035167694,13142
131,0.14971588551998138,13144
131,0.14065684378147125,13143
131,0.13138702511787415,13145
