Archi,Act,Size,Loss,Epoch
DeepMLP,SiLU,16,0.08504676818847656,1330
ResNet,ELU,16,0.08512123674154282,1740
DeepMLP,ELU,64,0.08559468388557434,430
DeepMLP,ELU,16,0.08563181757926941,1280
DeepMLP,SiLU,64,0.08587395399808884,560
DeepMLP,Mish,64,0.08590821921825409,430
DeepMLP,Mish,16,0.08606341481208801,980
DeepMLP,ELU,32,0.08627155423164368,700
DeepMLP,ELU,128,0.08628503233194351,300
DeepResNet,SiLU,16,0.08648183196783066,1110
ResNet,SiLU,16,0.08652560412883759,1600
DeepResNet,ELU,16,0.08653566986322403,1450
DeepMLP,SiLU,32,0.08688680082559586,850
DeepMLP,Mish,32,0.08694417774677277,730
ResNet,Mish,16,0.08705795556306839,1870
DeepResNet,SiLU,128,0.08717583119869232,260
DeepResNet,ELU,64,0.08729249984025955,330
DeepResNet,SiLU,64,0.08732172846794128,390
DeepMLP,GELU,16,0.08737079799175262,1140
DeepMLP,GELU,64,0.0873953104019165,360
OriginalMLP,SiLU,16,0.0874173641204834,2110
OriginalMLP,Mish,16,0.08751022815704346,2010
OriginalMLP,SiLU,64,0.08756764978170395,670
DeepResNet,GELU,16,0.08761387318372726,990
DeepMLP,Mish,128,0.08762478083372116,330
MLP,ELU,32,0.08764973282814026,1310
ResNet,ELU,64,0.08767121285200119,550
ResNet,GELU,16,0.08769802004098892,1330
ResNet,Mish,64,0.08770183473825455,450
DeepResNet,Mish,16,0.08775656670331955,1130
DeepMLP,SiLU,128,0.08775683492422104,420
MLP,SiLU,16,0.08782478421926498,2750
MLP,SiLU,32,0.08782702684402466,1200
DeepResNet,ELU,32,0.08790270984172821,640
MLP,SiLU,64,0.08791385591030121,760
DeepResNet,Mish,64,0.08804040402173996,340
ResNet,SiLU,64,0.08804666250944138,520
MLP,ELU,16,0.08808573335409164,2530
OriginalMLP,ELU,64,0.08811570703983307,590
MLP,Mish,64,0.08820738643407822,660
MLP,Mish,32,0.08823903650045395,980
DeepMLP,GELU,32,0.08829021453857422,640
MLP,ELU,64,0.08829942345619202,740
OriginalMLP,SiLU,128,0.0883108451962471,440
ResNet,Mish,32,0.0883679911494255,820
ResNet,SiLU,32,0.08841948956251144,930
ResNet,Mish,128,0.08842533826828003,280
DeepMLP,GELU,128,0.08846791833639145,280
DeepResNet,SiLU,32,0.08856311440467834,570
ResNet,SiLU,128,0.08857345581054688,340
ResNet,ELU,32,0.08860698342323303,1000
OriginalMLP,Mish,64,0.08863817155361176,540
DeepResNet,ELU,128,0.0886770710349083,270
MLP,Mish,16,0.08871520310640335,2220
DeepResNet,Mish,32,0.08876213431358337,500
MLP,GELU,64,0.08878243714570999,560
MLP,Mish,128,0.08888983726501465,430
ResNet,GELU,32,0.08893107622861862,800
ResNet,GELU,64,0.08898729830980301,380
OriginalMLP,Mish,128,0.08901900798082352,380
DeepResNet,GELU,64,0.0892583355307579,280
MLP,SiLU,128,0.08949385583400726,480
OriginalMLP,Mish,32,0.08953743427991867,900
OriginalMLP,ELU,16,0.08959472924470901,2110
OriginalMLP,SiLU,32,0.08959798514842987,1070
ResNet,ELU,128,0.0896698608994484,330
DeepResNet,Mish,128,0.08979567140340805,240
ResNet,GELU,128,0.08997532725334167,240
OriginalMLP,ELU,128,0.09007946401834488,360
DeepResNet,GELU,32,0.09015317261219025,430
DeepMLP,SELU,64,0.09017475694417953,360
DeepMLP,Softplus,64,0.09017475694417953,360
OriginalMLP,GELU,128,0.09034942835569382,310
MLP,GELU,32,0.09041846543550491,840
OriginalMLP,GELU,64,0.09046819061040878,520
OriginalMLP,GELU,32,0.09052608907222748,770
DeepMLP,SELU,128,0.0907009094953537,200
DeepMLP,Softplus,128,0.0907009094953537,200
DeepResNet,GELU,128,0.09074139595031738,200
MLP,ELU,128,0.09076984971761703,450
OriginalMLP,ELU,32,0.09078124910593033,1010
DeepMLP,SELU,16,0.09098416566848755,1440
DeepMLP,Softplus,16,0.09098416566848755,1440
MLP,GELU,128,0.09117494523525238,340
ResNet,SELU,16,0.09130250662565231,1670
ResNet,Softplus,16,0.09130250662565231,1670
OriginalMLP,GELU,16,0.09137911349534988,1600
MLP,SELU,16,0.09177448600530624,1740
MLP,Softplus,16,0.09177448600530624,1740
MLP,GELU,16,0.09195040166378021,2070
MLP,SELU,32,0.09301982820034027,900
MLP,Softplus,32,0.09301982820034027,900
DeepMLP,SELU,32,0.09382227808237076,500
DeepMLP,Softplus,32,0.09382227808237076,500
ResNet,SELU,32,0.09388748556375504,720
ResNet,Softplus,32,0.09388748556375504,720
DeepResNet,SELU,64,0.09412790834903717,270
DeepResNet,Softplus,64,0.09412790834903717,270
DeepResNet,SELU,128,0.09415572136640549,210
DeepResNet,Softplus,128,0.09415572136640549,210
OriginalMLP,SELU,16,0.09419773519039154,1170
OriginalMLP,Softplus,16,0.09419773519039154,1170
OriginalMLP,SELU,32,0.09562873840332031,600
OriginalMLP,Softplus,32,0.09562873840332031,600
ResNet,SELU,128,0.09570737928152084,250
ResNet,Softplus,128,0.09570737928152084,250
DeepResNet,SELU,32,0.09640499204397202,420
DeepResNet,Softplus,32,0.09640499204397202,420
MLP,SELU,64,0.09788165986537933,430
MLP,Softplus,64,0.09788165986537933,430
MLP,SELU,128,0.09791488945484161,260
MLP,Softplus,128,0.09791488945484161,260
DeepResNet,SELU,16,0.09832639992237091,880
DeepResNet,Softplus,16,0.09832639992237091,880
OriginalMLP,SELU,128,0.0996369943022728,200
OriginalMLP,Softplus,128,0.0996369943022728,200
ResNet,SELU,64,0.10032884031534195,410
ResNet,Softplus,64,0.10032884031534195,410
OriginalMLP,SELU,64,0.10070231556892395,440
OriginalMLP,Softplus,64,0.10070231556892395,440
