ResNet (ELU/16) | L:0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08411 (Epoch 1710)
ResNet (ELU/16) | L:0.2 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08414 (Epoch 1930)
ResNet (ELU/16) | L:0.2 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08416 (Epoch 1920)
ResNet (ELU/16) | L:0.2 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08421 (Epoch 1950)
ResNet (ELU/16) | L:0.2 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08421 (Epoch 1950)
ResNet (ELU/16) | L:0.2 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08425 (Epoch 1860)
ResNet (ELU/16) | L:0.2 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08425 (Epoch 1930)
ResNet (ELU/16) | L:0.2 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08426 (Epoch 1990)
ResNet (ELU/16) | L:0.2 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08426 (Epoch 1930)
ResNet (ELU/16) | L:0.2 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08427 (Epoch 1900)
ResNet (ELU/16) | L:0 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
ResNet (ELU/16) | L:0 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08433 (Epoch 1710)
